3
0.7700463252857143;0.5005276764285715
0.21387394783333333;0.2538263863333334
0.4871543718;0.8168518678
3
18.0;2.0
0;0.767184912;0.721171411
0;0.919303164;0.573783432
0;0.562195095;0.473443426
0;0.903213043;0.4042724
0;0.781520654;0.327890346
0;0.834918083;0.40419595
0;0.621989326;0.59893677
1;0.348265448;0.269011835
1;0.344657111;0.165592322
1;0.276023884;0.150339727
1;0.235105096;0.325536645
1;0.029144362;0.158528215
1;0.050047786;0.453949574
2;0.234727223;0.757319949
2;0.71667111;0.867750641
2;0.456945687;0.939763359
2;0.563295614;0.704394646
2;0.464132225;0.815030744
